station,latitude,longitude
東京,35.681382,139.766084
上野,35.713768,139.777254
大宮,35.906295,139.623999
小山,36.3142,139.80685
宇都宮,36.558701,139.898283
那須塩原,36.931772,140.020514
新白河,37.094537,140.18441
郡山,37.397983,140.388412
福島,37.75442,140.458533
白石蔵王,37.995485,140.633035
仙台,38.260297,140.882049
古川,38.57092,140.967832
くりこま高原,38.74893,141.071785
一ノ関,38.926283,141.137586
水沢江刺,39.145194,141.188803
北上,39.282229,141.122598
新花巻,39.406453,141.173715
盛岡,39.701683,141.136369
いわて沼宮内,39.960853,141.217655
二戸,40.209936,141.297394
八戸,40.509161,141.431468
七戸十和田,40.719917,141.153948
新青森,40.82749,140.693449
奥津軽いまべつ,41.1450992,140.5155834
木古内,41.60107,140.334926
新函館北斗,41.9054,140.646525
